Title,cast,crew,genres,final_tag,movie_id
Downton Abbey,Hugh Bonneville,Michael Engler,Drama Romance History,"The beloved Crawleys and their intrepid staff prepare for the most important moment of their lives. A royal visit from the King and Queen of England will unleash scandal, romance and intrigue that will leave the future of Downton hanging in the balance.en",535544.0
Rambo: Last Blood,Sylvester Stallone,Adrian Grunberg,Action Thriller Drama,"After fighting his demons for decades, John Rambo now lives in peace on his family ranch in Arizona, but his rest is interrupted when Gabriela, the granddaughter of his housekeeper María, disappears after crossing the border into Mexico to meet her biological father. Rambo, who has become a true father figure for Gabriela over the years, undertakes a desperate and dangerous journey to find her.en",522938.0
Bloodline,Seann William Scott,Henry Jacobson,Horror Science Fiction,"In the 22nd century, a scientist attempts to right the wrong his ancestor created: the puzzle box that opens the gates of Hell and unleashes Pinhead and his Cenobite legions.en",8766.0
Running with the Devil,Nicolas Cage,Jason Cabell,Action,A leader of a drug cartel sends his two toughest henchmen to investigate why a shipment was botched.en,523077.0
Fractured,Sam Worthington,Brad Anderson,Thriller,"Driving cross-country, Ray and his wife and daughter stop at a highway rest area where his daughter falls and breaks her arm. After a frantic rush to the hospital and a clash with the check-in nurse, Ray is finally able to get her to a doctor. While the wife and daughter go downstairs for an MRI, Ray, exhausted, passes out in a chair in the lobby. Upon waking up, they have no record or knowledge of Ray's family ever being checked in.en",568091.0
Abominable,Todd Wilderman (co-director); Chloe Bennet,Jill Culton,Family Animation Adventure Comedy,"A group of misfits encounter a young Yeti named Everest, and they set off to reunite the magical creature with his family on the mountain of his namesake.en",431580.0
The Laundromat,Meryl Streep,Steven Soderbergh,Drama Crime Comedy,"When her idyllic vacation takes an unthinkable turn, Ellen Martin begins investigating a fake insurance policy, only to find herself down a rabbit hole of questionable dealings that can be linked to a Panama City law firm and its vested interest in helping the world's wealthiest citizens amass larger fortunes.en",517909.0
Judy,Renée Zellweger,Rupert Goold,Drama History Music,"Winter 1968 and showbiz legend Judy Garland arrives in Swinging London to perform a five-week sold-out run at The Talk of the Town. It is 30 years since she shot to global stardom in The Wizard of Oz, but if her voice has weakened, its dramatic intensity has only grown. As she prepares for the show, battles with management, charms musicians and reminisces with friends and adoring fans, her wit and warmth shine through. Even her dreams of love seem undimmed as she embarks on a whirlwind romance with Mickey Deans, her soon-to-be fifth husband.en",491283.0
Prey,Logan Miller,Franck Khalfoun,Thriller,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.de,853588.0
Joker,Scott Silver (screenplay); Joaquin Phoenix,Todd Phillips,Crime Thriller Drama,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.en",475557.0
Lucy in the Sky,Brian C. Brown,Noah Hawley,Drama Science Fiction Thriller,Astronaut Lucy Cola returns to Earth after a transcendent experience during a mission to space – and begins to lose touch with reality in a world that now seems too small.en,340104.0
Dolemite Is My Name,Eddie Murphy,Craig Brewer,Drama Comedy History,"The story of Rudy Ray Moore, who created the iconic big screen pimp character Dolemite in the 1970s.en",528888.0
In the Tall Grass,Patrick Wilson,Vincenzo Natali,Horror Drama Thriller,"After hearing a child screaming for help from the green depths of a vast field of tall grass, Becky, a pregnant woman, and Cal, her brother, park their car near a mysterious abandoned church and recklessly enter the field, discovering that they are not alone and because of some reason they are unable of escaping a completely inextricable vegetable labyrinth.en",523139.0
Low Tide,Keean Johnson,Kevin McMullin,Drama Thriller,"In the long days of summer in a beach town on the New Jersey shore, high schooler Alan and his friends Red and Smitty break into vacation homes to steal valuables, funding dates at the boardwalk and lunches at the burger stand. When Alan and his younger brother Peter find a bag of gold coins, they try to hide them from the others — but Red, suspicious and violently unpredictable, seems willing to do anything to get the money.en",493066.0
Wrinkles the Clown,,Michael Beach Nichols,Documentary,"In Florida, parents can hire Wrinkles the Clown to scare their misbehaving children.en",619262.0
Little Monsters,Lupita Nyong'o,Abe Forsythe,Adventure Fantasy Comedy Family,A young boy is scared of the monster under his bed. He asks his 6th grade brother to swap rooms for the night as a bet that the monster really exists. Soon the brother becomes friends with the monster and discovers a whole new world of fun and games under his bed where pulling pranks on kids and other monsters is the main attraction.en,15138.0
Gemini Man,Will Smith,Ang Lee,Science Fiction Action Thriller,"Henry Brogan is an elite 51-year-old assassin who's ready to call it quits after completing his 72nd job. His plans get turned upside down when he becomes the target of a mysterious operative who can seemingly predict his every move. To his horror, Brogan soon learns that the man who's trying to kill him is a younger, faster, cloned version of himself.en",453405.0
The Addams Family,Oscar Isaac,"Conrad Vernon, Greg Tiernan",Animation Adventure Comedy Family,The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.en,639721.0
The King,Joel Edgerton (screenplay); Timothée Chalamet,David Michôd,Action Adventure Thriller War,"As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.en",476669.0
Jexi,,"Jon Lucas, Scott Moore (directors/screenplay); Adam Devine, Rose Byrne, Alexandra Shipp, Ron Funches, Charlyne Yi, Wanda Sykes, Justin Hartley, Kid Cudi, Michael Peña",Comedy,"Phil's new phone comes with an unexpected feature, Jexi...an A.I. determined to keep him all to herself in a comedy about what can happen when you love your phone more than all else.en",620725.0
Polaroid,Kathryn Prescott,Lars Klevberg,Horror Thriller Mystery,"High school loner Bird Fitcher has no idea what dark secrets are tied to the mysterious Polaroid vintage camera she stumbles upon, but it doesn't take long to discover that those who have their picture taken meet a tragic end. Bird and her friends must survive one more night as they race to solve the mystery of the haunted Polaroid before it kills them all.en",431075.0
El Camino: A Breaking Bad Movie,Aaron Paul,Vince Gilligan,Crime Drama Thriller Action,"In the wake of his dramatic escape from captivity, Jesse Pinkman must come to terms with his past in order to forge some kind of future.en",559969.0
Maleficent: Mistress of Evil,Angelina Jolie,Joachim Rønning,Family Fantasy Adventure,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.en",420809.0
Zombieland: Double Tap,Woody Harrelson,Ruben Fleischer,Horror Comedy,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.en",338967.0
Jojo Rabbit,Roman Griffin Davis,Taika Waititi,Comedy War Drama,"A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism.en",515001.0
The Lighthouse,Max Eggers (screenplay); Willem Dafoe,Robert Eggers,Drama Fantasy Thriller Horror,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.en,503919.0
Wounds,Armie Hammer,Babak Anvari,Horror Mystery Thriller,Disturbing and mysterious things begin to happen to a bartender in New Orleans after he picks up a phone left behind at his bar.en,505423.0
Black and Blue,Naomie Harris,Deon Taylor,Action Thriller,"A rookie cop inadvertently captures the murder of a young drug dealer on her body cam. After realizing that the murder was committed by corrupt cops, she teams up with the one person from her community who is willing to help her as she tries to escape both the criminals out for revenge and the police who are desperate to destroy the incriminating footage.en",578189.0
The Current War,Benedict Cumberbatch,Alfonso Gomez-Rejon,Drama History,Electricity titans Thomas Edison and George Westinghouse compete to create a sustainable system and market it to the American people.en,418879.0
Countdown,Elizabeth Lail,Justin Dec,Horror Thriller,"A young nurse downloads an app that tells her she only has three days to live. With time ticking away and a mysterious figure haunting her, she must find a way to save her life before time runs out.en",599975.0
The Kill Team,,Dan Krauss,War Action Drama,"When Andrew Briggman—a young soldier in the US invasion of Afghanistan—witnesses other recruits killing innocent civilians under the direction of a sadistic Sergeant, he considers reporting them to higher-ups. However, the heavily-armed and increasingly-violent platoon becomes suspicious that someone in their ranks has turned on them, and Andrew begins to fear that he'll be the next target.en",489245.0
The Gallows Act II,Chris Milligan,"Chris Lofing, Travis Cluff",Horror Thriller,"When Ana Rue transfers to a prestigious new acting school, she encounters a malevolent spirit after participating in a viral challenge.en",505060.0
Terminator: Dark Fate,Linda Hamilton,Tim Miller,Action Adventure Science Fiction,"Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet.en",290859.0
Motherless Brooklyn,Edward Norton,Edward Norton,Drama Thriller,"New York City, 1957. Lionel Essrog, a private detective living with Tourette syndrome, tries to solve the murder of his mentor and best friend, armed only with vague clues and the strength of his obsessive mind.en",504562.0
The Irishman,Robert De Niro,Martin Scorsese,Crime Drama History,"Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.en",398978.0
Harriet,Gregory Allen Howard (screenplay); Cynthia Erivo,Kasi Lemmons,Drama History,"The extraordinary tale of Harriet Tubman's escape from slavery and transformation into one of America's greatest heroes. Her courage, ingenuity and tenacity freed hundreds of slaves and changed the course of history.en",506528.0
Arctic Dogs,Bob Barlen,Aaron Woodley,Animation Adventure Comedy,Animals band together to save the day when the evil Otto Von Walrus hatches a sinister scheme to accelerate global warming and melt the Arctic Circle.en,416153.0
Marriage Story,Scarlett Johansson,Noah Baumbach,Drama,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.en",492188.0
Doctor Sleep,Ewan McGregor,Mike Flanagan,Horror Thriller,"Still irrevocably scarred by the trauma he endured as a child at the Overlook, Dan Torrance has fought to find some semblance of peace. But that peace is shattered when he encounters Abra, a courageous teenager with her own powerful extrasensory gift, known as the 'shine'. Instinctively recognising that Dan shares her power, Abra has sought him out, desperate for his help against the merciless Rose the Hat and her followers.en",501170.0
Last Christmas,,"Paul Feig (director), Emma Thompson, Bryony Kimmings (screenplay); Emilia Clarke, Henry Golding, Michelle Yeoh, Emma Thompson",Comedy Romance Drama,"Kate is a young woman who has a habit of making bad decisions, and her last date with disaster occurs after she accepts work as Santa's elf for a department store. However, after she meets Tom there, her life takes a new turn.en",549053.0
Playing with Fire,John Cena,Andy Fickman,Comedy Family,A crew of rugged firefighters meet their match when attempting to rescue three rambunctious kids.en,554241.0
Let It Snow,Isabela Merced,Luke Snellin,Romance Comedy,"When a huge blizzard (that doesn't show signs of stopping) hits, Gracetown is completely snowed in. But even though it's cold outside, things are heating up inside, proving that Christmas is magical when it comes to love.en",295151.0
Midway,Ed Skrein,Roland Emmerich,War History Action Drama,"The story of the Battle of Midway, and the leaders and soldiers who used their instincts, fortitude and bravery to overcome massive odds.en",522162.0
Klaus,J. K. Simmons,Sergio Pablos,Animation Family Adventure Comedy,"When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys.en",508965.0
Honey Boy,Shia LaBeouf,Alma Har'el,Drama,"The story of a child star attempting to mend his relationship with his law-breaking, alcohol-abusing father over the course of a decade, loosely based on Shia LaBeouf’s life.en",512263.0
Lady and the Tramp,Tessa Thompson,Charlie Bean,Family Animation Romance,"Lady, a golden cocker spaniel, meets up with a mongrel dog who calls himself the Tramp. He is obviously from the wrong side of town, but happenings at Lady's home make her decide to travel with him for a while.en",10340.0
Noelle,Anna Kendrick,Marc Lawrence,Family Comedy Fantasy,"Kris Kringle's daughter, Noelle, sets off on a mission to find and bring back her brother, after he gets cold feet when it's his turn to take over as Santa.en",454467.0
Ford v Ferrari,Matt Damon,James Mangold,Drama Action History,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.en",359724.0
Charlie's Angels,Kristen Stewart,Elizabeth Banks,Action Adventure Comedy Science Fiction,"When a systems engineer blows the whistle on a dangerous technology, Charlie's Angels from across the globe are called into action, putting their lives on the line to protect society.en",458897.0
The Good Liar,Ian McKellen,Bill Condon,Crime,"Career con man Roy sets his sights on his latest mark: recently widowed Betty, worth millions. And he means to take it all. But as the two draw closer, what should have been another simple swindle takes on the ultimate stakes.en",511322.0
The Report,Adam Driver,Scott Z. Burns,Thriller Drama,"The story of Daniel Jones, lead investigator for the US Senate’s sweeping study into the CIA's Detention and Interrogation Program, which was found to be brutal, immoral and ineffective. With the truth at stake, Jones battled tirelessly to make public what many in power sought to keep hidden.en",524348.0
Waves,Kelvin Harrison Jr.,Trey Edward Shults,Romance Drama,A controlling father’s attempts to ensure that his two children succeed in high school backfire after his son experiences a career-ending sports injury. Their familial bonds are eventually placed under severe strain by an unexpected tragedy.en,533444.0
Frozen II,Idina Menzel,"Chris Buck, Jennifer Lee",Family Animation Adventure Comedy Fantasy,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.en",330457.0
A Beautiful Day in the Neighborhood,Tom Hanks,Marielle Heller,Drama History,"An award-winning cynical journalist, Lloyd Vogel, begrudgingly accepts an assignment to write an Esquire profile piece on the beloved television icon Fred Rogers. After his encounter with Rogers, Vogel's perspective on life is transformed.en",501907.0
21 Bridges,Chadwick Boseman,Brian Kirk,Crime Action Drama,"An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him.en",535292.0
Dark Waters,Mark Ruffalo,Todd Haynes,Drama Thriller History,"A tenacious attorney uncovers a dark secret that connects a growing number of unexplained deaths to one of the world's largest corporations. In the process, he risks everything — his future, his family, and his own life — to expose the truth.en",552178.0
Knives Out,Daniel Craig,Rian Johnson,Comedy Crime Mystery,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.en",546554.0
Queen & Slim,Daniel Kaluuya,Melina Matsoukas,Drama Romance Crime,"While on a forgettable first date together in Ohio, a black man and a black woman are pulled over for a minor traffic infraction. The situation escalates, with sudden and tragic results.en",536743.0
The Two Popes,Anthony Hopkins,Fernando Meirelles,Drama Comedy History,"Frustrated with the direction of the church, Cardinal Bergoglio requests permission to retire in 2012 from Pope Benedict. Instead, facing scandal and self-doubt, the introspective Pope Benedict summons his harshest critic and future successor to Rome to reveal a secret that would shake the foundations of the Catholic Church.en",551332.0
Playmobil: The Movie,,"Lino DiSalvo (director), Ramaa Mosley (co-director); Blaise Hemingway (screenplay); Anya Taylor-Joy, Daniel Radcliffe, Gabriel Bateman, Jim Gaffigan, Meghan Trainor, Adam Lambert",Family Animation Comedy Adventure,Marla is forced to abandon her carefully structured life to embark on an epic journey to find her younger brother Charlie who has disappeared into the vast and wondrous animated world of Playmobil toys.en,366668.0
The Aeronauts,Felicity Jones,Tom Harper,Adventure Drama Romance,"In 1862, daredevil balloon pilot Amelia Wren teams up with pioneering meteorologist James Glaisher to advance human knowledge of the weather and fly higher than anyone in history. While breaking records and advancing scientific discovery, their voyage to the very edge of existence helps the unlikely pair find their place in the world they have left far below them. But they face physical and emotional challenges in the thin air, as the ascent becomes a fight for survival.en",514921.0
A Million Little Pieces,Aaron Taylor-Johnson (screenplay); Aaron Taylor-Johnson,Sam Taylor-Johnson,Drama,A young drug-addled writer approaching the bottom of his descent submits to two months of agonizing detox at a treatment center in Minnesota.en,499566.0
Daniel Isn't Real,Brian DeLeeuw (screenplay); Miles Robbins,Adam Egypt Mortimer,Horror Mystery,"A troubled college freshman, Luke, suffers a violent family trauma and resurrects his childhood imaginary friend Daniel to help him cope.en",537788.0
Jumanji: The Next Level,Scott Rosenberg,Jake Kasdan,Adventure Comedy Fantasy,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.en",512200.0
Richard Jewell,Paul Walter Hauser,Clint Eastwood,Drama History Crime,"Richard Jewell thinks quick, works fast, and saves hundreds, perhaps thousands, of lives after a domestic terrorist plants several pipe bombs and they explode during a concert, only to be falsely suspected of the crime by sloppy FBI work and sensational media coverage.en",292011.0
Black Christmas,April Wolfe (screenplay); Imogen Poots,Sophia Takal,Horror Thriller Mystery,"An escaped maniac returns to his childhood home on Christmas Eve, which is now a sorority house, and begins to murder the sorority sisters one by one.en",9656.0
6 Underground,Ryan Reynolds,Michael Bay,Action Thriller Comedy,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.en",509967.0
Bombshell,Charlize Theron,Jay Roach,Drama History,Bombshell is a revealing look inside the most powerful and controversial media empire of all time; and the explosive story of the women who brought down the infamous man who created it.en,525661.0
Uncut Gems,Adam Sandler,"Safdie brothers (directors/screenplay); Ronald Bronstein (screenplay); Adam Sandler, Lakeith Stanfield, Julia Fox, Kevin Garnett, Idina Menzel, Eric Bogosian",Drama Thriller Crime,"A charismatic New York City jeweler always on the lookout for the next big score makes a series of high-stakes bets that could lead to the windfall of a lifetime. Howard must perform a precarious high-wire act, balancing business, family, and encroaching adversaries on all sides in his relentless pursuit of the ultimate win.en",473033.0
Seberg,Kristen Stewart,Benedict Andrews,Thriller Drama,An ambitious young FBI agent is assigned to investigate iconic actress Jean Seberg when she becomes embroiled in the tumultuous civil rights movement in late 1960s Los Angeles.en,510298.0
A Hidden Life,August Diehl,Terrence Malick,Drama War History,Austrian farmer Franz Jägerstätter faces the threat of execution for refusing to fight for the Nazis during World War II.en,403300.0
Star Wars: The Rise of Skywalker,,"J. J. Abrams (director/screenplay), Chris Terrio (screenplay); Carrie Fisher, Mark Hamill, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Anthony Daniels, Naomi Ackie, Domhnall Gleeson, Richard E. Grant, Lupita Nyong'o, Keri Russell, Joonas Suotamo, Kelly Marie Tran, Ian McDiarmid, Billy Dee Williams",Action Adventure Science Fiction,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.en",181812.0
Cats,Lee Hall (screenplay); James Corden,Tom Hooper,Family Comedy,"When a professor develops a vaccine that eliminates human allergies to dogs, he unwittingly upsets the fragile balance of power between cats and dogs and touches off an epic battle for pet supremacy. The fur flies as the feline faction, led by Mr. Tinkles, squares off against wide-eyed puppy Lou and his canine cohorts.en",10992.0
Togo,Willem Dafoe,Ericson Core,Adventure Family,"The untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo.en",606856.0
Spies in Disguise,Will Smith,"Nick Bruno, Troy Quane",Animation Action Adventure Comedy Family,"Super spy Lance Sterling and scientist Walter Beckett are almost exact opposites. Lance is smooth, suave and debonair. Walter is… not. But what Walter lacks in social skills he makes up for in smarts and invention, creating the awesome gadgets Lance uses on his epic missions. But when events take an unexpected turn, Walter and Lance suddenly have to rely on each other in a whole new way.en",431693.0
Little Women,Saoirse Ronan,Greta Gerwig,Drama Romance,Four sisters come of age in America in the aftermath of the Civil War.en,331482.0
1917,Krysty Wilson-Cairns (screenplay); George MacKay,Sam Mendes,War Drama Action Thriller,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.en",530915.0
Just Mercy,,"Destin Daniel Cretton (director/screenplay), Andrew Lanham (screenplay); Michael B. Jordan, Jamie Foxx, Brie Larson, Rob Morgan, Tim Blake Nelson, Rafe Spall, O'Shea Jackson Jr., C.J. LeBlanc",Drama Crime History,"The powerful true story of Harvard-educated lawyer Bryan Stevenson, who goes to Alabama to defend the disenfranchised and wrongly condemned — including Walter McMillian, a man sentenced to death despite evidence proving his innocence. Bryan fights tirelessly for Walter with the system stacked against them.en",522212.0
Clemency,Alfre Woodard,Chinonye Chukwu,Drama,"Years of carrying out death row executions have taken a toll on prison warden Bernadine Williams. As she prepares to execute another inmate, Bernadine must confront the psychological and emotional demons her job creates, ultimately connecting her to the man she is sanctioned to kill.en",565307.0
The Grudge,Andrea Riseborough,Nicolas Pesce,Horror Mystery Thriller,"An American nurse living and working in Tokyo is exposed to a mysterious supernatural curse, one that locks a person in a powerful rage before claiming their life and spreading to another victim.en",1970.0
Underwater,Kristen Stewart,William Eubank,Action Horror Science Fiction Thriller,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.en",443791.0
Like a Boss,Tiffany Haddish,Miguel Arteta,Comedy,"Two female friends with very different ideals decide to start a beauty company together. One is more practical, while the other wants to earn her fortune and live a lavish lifestyle.en",526019.0
Three Christs,Eric Nazarian (screenplay); Richard Gere,Jon Avnet,Drama,Dr. Alan Stone breaks new ground for treatment of the mentally ill through an experiment on three paranoid schizophrenic patients who believe they are Jesus Christ.en,418533.0
Inherit the Viper,Josh Hartnett,Anthony Jerjen,Crime Thriller Drama,"Since the death of their father, the Riley siblings have kept their heads above water by illegally dealing in painkillers. Josie is managing the business with an iron fist, when her brother, War veteran Kip, is concerned that the risky business is increasingly turning them into outsiders in their small community. While Kip wants to keep his younger brother out of their illegal endeavors, his younger brother is already making plans of his own.en",634904.0
The Sonata,Arthur Morin (screenplay); Freya Tingley,Andrew Desmond,Horror Thriller Mystery,"After a gifted musician inherits a mansion after her long lost father dies under mysterious circumstances, she discovers his last musical masterpiece riddled with cryptic symbols that unravels an evil secret, triggering dark forces that reach beyond her imagination.en",477036.0
The Murder of Nicole Brown Simpson,Mena Suvari,Daniel Farrands,Thriller Drama Crime,"In 1994 Nicole Brown Simpson and her friend Ronald Goldman were brutally murdered in her Los Angeles home by whom most believe to be O.J Simpson. But what role did Glen Rogers, also known as the Casanova Killer play in their death?en",527534.0
Bad Boys for Life,Will Smith,Adil El Arbi and Bilall Fallah,Thriller Action Crime,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.en",38700.0
Dolittle,Dan Gregor,Stephen Gaghan,Family Fantasy Adventure,"After losing his wife seven years earlier, the eccentric Dr. John Dolittle, famed doctor and veterinarian of Queen Victoria’s England, hermits himself away behind the high walls of Dolittle Manor with only his menagerie of exotic animals for company. But when the young queen falls gravely ill, a reluctant Dolittle is forced to set sail on an epic adventure to a mythical island in search of a cure, regaining his wit and courage as he crosses old adversaries and discovers wondrous creatures.en",448119.0
A Fall from Grace,Crystal R. Fox,Tyler Perry,Drama Fantasy Thriller,"When a law-abiding woman gets indicted for murdering her husband, her lawyer soon realizes that a larger conspiracy may be at work.en",651070.0
The Gentlemen,Matthew McConaughey,Guy Ritchie,Crime Action Comedy,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.en",522627.0
The Turning,Mackenzie Davis,Floria Sigismondi,Horror Thriller,"A young woman quits her teaching job to be a private tutor for two wealthy young kids, but soon starts to suspect there’s more to their house than what meets the eye.en",492611.0
The Last Full Measure,Sebastian Stan,Todd Robinson,War Drama,"The incredible true story of Vietnam War hero William H. Pitsenbarger, a U.S. Air Force Pararescuemen medic who personally saved over sixty men. Thirty-two years later, Pentagon staffer Scott Huffman investigates a Congressional Medal of Honor request for Pitsenbarger and uncovers a high-level conspiracy behind the decades-long denial of the medal, prompting Huffman to put his own career on the line to seek justice for the fallen airman.en",442065.0
John Henry,Terry Crews,Will Forbes,Animation Drama Family,"A larger-than-life tale about the African-American hero born with a hammer in his hand. Join John Henry on a scenic journey from cotton country to the wilderness, where he finds men of all colors working together to build a great railroad.en",197725.0
The Rhythm Section,Blake Lively,Reed Morano,Action Thriller,"Blake Lively stars as Stephanie Patrick, a woman on a path of self-destruction after her family is tragically killed in a plane crash. When she discovers the wreck was no accident, Stephanie enters the dark, complex world of international espionage seeking vengeance. Her search leads to Iain Boyd (Jude Law), a former MI6 agent who trains her to hunt down those responsible. With nothing left to lose, Stephanie transforms from victim to assassin and discovers that neither revenge nor the truth are what they appear in this action-packed thriller from the producers of James Bond.en",466622.0
Gretel & Hansel,Rob Hayes (screenplay); Sophia Lillis,Oz Perkins,Horror Fantasy Thriller,"A long time ago in a distant fairy tale countryside, a young girl leads her little brother into a dark wood in desperate search of food and work, only to stumble upon a nexus of terrifying evil.en",542224.0
The Assistant,Julia Garner,Kitty Green,Drama,"A searing look at a day in the life of an assistant to a powerful executive. As Jane follows her daily routine, she grows increasingly aware of the insidious abuse that threatens every aspect of her position.en",627463.0
Birds of Prey,Margot Robbie,Cathy Yan,Action Crime,"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.en",495764.0
The Lodge,Riley Keough,"Veronika Franz, Severin Fiala (directors/screenplay); Sergio Casci (screenplay); Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone",Drama Horror Thriller,"When a father is forced to abruptly depart for work, he leaves his children, Aidan and Mia, at their holiday home in the care of his new girlfriend, Grace. Isolated and alone, a blizzard traps them inside the lodge as terrifying events summon specters from Grace's dark past.en",474764.0
Timmy Failure: Mistakes Were Made,Stephan Pastis (screenplay); Winslow Fegley,Tom McCarthy,Family Mystery Comedy Fantasy,"An 11-year old boy believes that he is the best detective in town and runs the agency Total Failures with his best friend, an imaginary 1,200 pound polar bear.en",550440.0
Horse Girl,Alison Brie (screenplay); Alison Brie,Jeff Baena,Drama,"A socially awkward woman with a fondness for arts and crafts, horses, and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.en",653601.0
To All the Boys: P.S. I Still Love You,Lana Condor,Michael Fimognari,Romance Comedy,Lara Jean and Peter have just taken their romance from pretend to officially real when another recipient of one of her love letters enters the picture.en,565426.0
Sonic the Hedgehog,James Marsden,Jeff Fowler,Action Science Fiction Comedy Family,"Based on the global blockbuster videogame franchise from Sega, Sonic the Hedgehog tells the story of the world’s speediest hedgehog as he embraces his new home on Earth. In this live-action adventure comedy, Sonic and his new best friend team up to defend the planet from the evil genius Dr. Robotnik and his plans for world domination.en",454626.0
Fantasy Island,Chris Roach,Jeff Wadlow,Horror Fantasy Adventure Mystery,"A group of contest winners arrive at an island hotel to live out their dreams, only to find themselves trapped in nightmare scenarios.en",539537.0
The Photograph,Issa Rae,Stella Meghie,Drama Romance,"When famed photographer Christina Eames dies unexpectedly, she leaves her estranged daughter, Mae, hurt, angry and full of questions. When Mae finds a photograph tucked away in a safe-deposit box, she soon finds herself delving into her mother's early life -- an investigation that leads to an unexpected romance with a rising journalist.en",589049.0
Downhill,Julia Louis-Dreyfus,"Nat Faxon, Jim Rash",Drama Comedy,"Barely escaping an avalanche during a family ski vacation in the Alps, a married couple is thrown into disarray as they are forced to reevaluate their lives and how they feel about each other.en",560391.0
Spy Intervention,Drew Van Acker,Drew Mylrea,Action Adventure Comedy,"When the world's greatest spy meets the woman of his dreams, he abandons his adventurous existence and settles into the security of suburbia.en",663255.0
The Kindness of Strangers,Andrea Riseborough,Lone Scherfig,Drama,"Clara and her two sons escape from her abusive husband with little more than their car and plan to start over in New York. After the car towed away, the family meets Alice, who gets them into an emergency shelter. While stealing food at a Russian restaurant called ‘Winter Palace’, Clara meets Marc, who has been given the chance to help the old eatery regain its former glory. The ‘Winter Palace’ soon becomes a place of unexpected encounters between people who are all undergoing some sort of crisis and whom fate has now brought together.en",520390.0
