Title,cast,crew,genres,final_tag,movie_id
The Lost City of Z,Charlie Hunnam,James Gray,Adventure Drama History,"A true-life drama in the 1920s, centering on British explorer Col. Percy Fawcett, who discovered evidence of a previously unknown, advanced civilization in the Amazon and disappeared whilst searching for it.en",314095.0
My Entire High School Sinking Into the Sea,Jason Schwartzman,Dash Shaw,Animation Comedy Drama,"From acclaimed graphic novelist Dash Shaw (New School) comes an audacious debut that is equal parts disaster cinema, high school comedy and blockbuster satire, told through a dream-like mixed media animation style that incorporates drawings, paintings and collage. Dash (Jason Schwartzman) and his best friend Assaf (Reggie Watts) are preparing for another year at Tides High School muckraking on behalf of their widely-distributed but little-read school newspaper, edited by their friend Verti (Maya Rudolph). But just when a blossoming relationship between Assaf and Verti threatens to destroy the boys' friendship, Dash learns of the administration's cover-up that puts all the students in danger. Hailed as ""the most original animated film of the year"" and ""John Hughes for the Adult Swim generation"", the film's everyday concerns of friendships, cliques and young love remind us how the high school experience continues to shape who we become, even in the most unusual of circumstances.en",410661.0
The Outcasts,Victoria Justice,Peter Hutchings,Comedy,"After falling victim to a humiliating prank by the high school Queen Bee, best friends and world-class geeks, Mindy and Jodi, decide to get their revenge by uniting the outcasts of the school against her and her circle of friends.en",306943.0
Born in China,John Krasinski (narrator),Lu Chuan,Documentary,"Venturing into the wilds of China, ""Born in China"" captures intimate moments with a panda bear and her growing cub, a young golden monkey who feels displaced by his baby sister, and a mother snow leopard struggling to raise her two cubs.zh",355277.0
Unforgettable,Katherine Heigl,Denise Di Novi,Drama Thriller,"Julia moves in with her fiancé, David, but his ex-wife and her own haunting past join forces to rock her quiet suburban existence.en",418437.0
The Promise,Robin Swicord (screenplay); Oscar Isaac,Terry George,History Romance Drama,"Set during the last days of the Ottoman Empire, a love triangle develops between Mikael, a brilliant medical student, the beautiful and sophisticated artist Ana, and Chris, a renowned American journalist based in Paris.en",354859.0
The Circle,Dave Eggers (screenplay) Tom Hanks,James Ponsoldt,Drama Thriller Science Fiction,"A young tech worker takes a job at a powerful Internet corporation, quickly rises up the company's ranks, and soon finds herself in a perilous situation concerning privacy, surveillance and freedom. She comes to learn that her decisions and actions will determine the future of humanity.en",339988.0
How to Be a Latin Lover,Eugenio Derbez,Ken Marino,Comedy,An aging Latin lover gets dumped by his sugar mama and must fend for himself in a harsh world.en,425134.0
Sleight,Alex Theurer (screenplay); Jacob Latimore,J. D. Dillard,Drama Thriller Action Science Fiction,"A young street magician is left to take care of his little sister after his mother's passing and turns to drug dealing in the Los Angeles party scene to keep a roof over their heads. When he gets into trouble with his supplier, his sister is kidnapped and he is forced to rely on both his sleight of hand and brilliant mind to save her.en",347882.0
Becoming Bond,George Lazenby,Josh Greenbaum,Documentary Comedy,"The stranger-than-fiction true story of George Lazenby, a poor Australian car mechanic who, through an unbelievable set of circumstances, landed the role of James Bond despite having never acted a day in his life.en",438493.0
Guardians of the Galaxy Vol. 2,Chris Pratt,James Gunn,Adventure Action Science Fiction,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.en,283995.0
The Lovers,Debra Winger,Azazel Jacobs,Action Adventure Science Fiction Romance,"The Lovers is an epic romance time travel adventure film. Helmed by Roland Joffé from a story by Ajey Jhankar, the film is a sweeping tale of an impossible love set against the backdrop of the first Anglo-Maratha war across two time periods and continents and centred around four characters — a British officer in 18th century colonial India, the Indian woman he falls deeply in love with, an American present-day marine biologist and his wife.en",79698.0
3 Generations,Naomi Watts,Gaby Dellal,Comedy Drama,"A teenager transitions from female to male, and his family must come to terms with that fact.en",300667.0
King Arthur: Legend of the Sword,Joby Harold,Guy Ritchie,Action Drama Fantasy,"When the child Arthur’s father is murdered, Vortigern, Arthur’s uncle, seizes the crown. Robbed of his birthright and with no idea who he truly is, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword Excalibur from the stone, his life is turned upside down and he is forced to acknowledge his true legacy... whether he likes it or not.en",274857.0
Snatched,Amy Schumer,Jonathan Levine,Action Comedy,"When her boyfriend dumps Emily, a spontaneous woman in her 30s, she persuades her ultra-cautious mom to accompany her on a vacation to Ecuador. When these two very different women are trapped on this wild journey, their bond as mother and daughter is tested and strengthened while they attempt to navigate the jungle and escape.en",373569.0
Lowriders,Demián Bichir,Ricardo de Montreuil,Drama Action Crime,"A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture, his ex-felon brother and his need for self-expression.en",333384.0
The Wall,Aaron Taylor-Johnson,Doug Liman,War Thriller Drama,An American sniper and his spotter engage in a deadly cat-and-mouse game with an Iraqi sniper.en,405775.0
Paris Can Wait,Diane Lane,Eleanor Coppola,Romance Comedy Drama,"A woman at a crossroads traveling to Cannes along with her successful film producer husband, finds herself on a two-day road trip with his business associate. What follows is a carefree journey replete with diversions involving picturesque sites, fine food and wine, humor, wisdom and romance - reawakening Anne's senses and a new lust for life.en",375867.0
Alien: Covenant,Michael Fassbender,Ridley Scott,Horror Science Fiction Mystery,"Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world—which has a sole inhabitant: the 'synthetic', David, survivor of the doomed Prometheus expedition.en",126889.0
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney (screenplay); Jason Ian Drucker,David Bowers,Comedy Family,A Heffley family road trip to attend Meemaw's 90th birthday party goes hilariously off course thanks to Greg's newest scheme to get to a video gaming convention.en,417830.0
"Everything, Everything",Amandla Stenberg,Stella Meghie,Drama Romance,"A teenager who's lived a sheltered life because she's allergic to everything, falls for the boy who moves in next door.en",417678.0
Wakefield,Bryan Cranston,Robin Swicord,Drama,A man's nervous breakdown causes him to leave his wife and live in his attic for several months.en,369894.0
Baywatch,,"Seth Gordon (director) Mark Swift, Damian Shannon (screenplay); Dwayne Johnson, Zac Efron, Priyanka Chopra, Alexandra Daddario, David Hasselhoff",Comedy Action Crime,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit. Together, they uncover a local criminal plot that threatens the future of the Bay.en",339846.0
Pirates of the Caribbean: Dead Men Tell No Tales,Johnny Depp,"Joachim Rønning, Espen Sandberg",Adventure Action Fantasy,"Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.en",166426.0
Buena Vista Social Club: Adios,,Lucy Walker (director),Documentary Music,"In 1996, Cuban bandleader Juan de Marcos Gonzalez, British producer Nick Gold, and American guitarist Ry Cooder convened in Havana to produce a Cuban-Malian collaboration. When the Malians couldn’t get visas, the team turned their attention to reviving a forgotten generation of legendary son cubano musicians and formed an on-the-fly ensemble: the Buena Vista Social Club.  Two decades since that fateful first session, we catch up to these master musicians, as they reflect on the magical unfolding of their lives—from humble origins to the evolution and surprising revival of their careers, all against the backdrop of Cuba’s dramatic history. Brimming with unseen concert, rehearsal, and archival footage, this film is an emotional, shimmering celebration of music’s power to transcend age, ideologies, and class, and to connect us to each other through our souls.en",432605.0
War Machine,Michael Hastings (book); Brad Pitt,David Michôd,Comedy Drama War,A rock star general bent on winning the “impossible” war in Afghanistan takes us inside the complex machinery of modern war. Inspired by the true story of General Stanley McChrystal.en,354287.0
Wonder Woman,Gal Gadot,Patty Jenkins,Action Adventure Fantasy,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.en,464052.0
